ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
83,Articuno,3d,GA,1,0,,0,0,,0,0,,0,0,,0,0
84,Articuno Ex,4d,GA,2,0,,1,0,,0,0,,0,0,,0,0
85,Ducklett,1d,GA,3,1,,2,1,,1,0,,0,0,,2,0
86,Swanna,2d,GA,3,1,,2,1,,0,0,,0,0,,0,0
87,Froakie,1d,GA,3,1,,4,2,,0,0,,0,0,,0,0
88,Frogadier,2d,GA,2,0,,2,0,,1,0,,0,0,,0,0
89,Greninja,3d,GA,0,0,,1,0,,0,0,,0,0,,0,0
90,Pyukumuku,1d,GA,4,2,,4,2,,2,0,,0,0,,0,0
91,Bruxish,2d,GA,3,1,,3,1,,0,0,,0,0,,0,0
92,Snom,1d,GA,3,1,,7,5,,5,3,,0,0,,0,0
93,Frosmoth,2d,GA,6,4,,2,1,,4,2,,0,0,,0,0
94,Pikachu,1d,GA,4,2,,6,4,,3,1,,0,0,,0,0
95,Raichu,3d,GA,0,0,,1,0,,0,0,,0,0,,0,0
96,Pikachu Ex,4d,GA,3,1,,1,0,,1,0,,0,0,,0,0
97,Magnemite,1d,GA,2,0,,2,1,,4,2,,0,0,,0,0
98,Magneton,3d,GA,1,0,,2,1,,1,0,,0,0,,0,0
99,Voltorb,1d,GA,6,4,,1,0,,1,0,,0,0,,0,0
100,Electrode,2d,GA,4,2,,5,3,,1,0,,0,0,,0,0
101,Electabuzz,1d,GA,8,6,,1,0,,1,0,,0,0,,0,0
102,Jolteon,3d,GA,2,0,,1,0,,0,0,,0,0,,0,0
103,Zapados,3d,GA,0,0,,1,0,,1,0,,0,0,,0,0
104,Zapados Ex,4d,GA,3,1,,2,1,,0,0,,0,0,,0,0
105,Blitzle,1d,GA,8,6,,8,6,,2,0,,0,0,,2,0
106,Zebstrika,2d,GA,6,4,,7,5,,2,0,,0,0,,0,0
107,Tynamo,1d,GA,4,2,,4,0,,2,0,,0,0,,1,0
108,Elektrik,2d,GA,1,0,,3,1,,1,0,,0,0,,0,0
109,Elektross,3d,GA,0,0,,1,0,,0,0,,0,0,,0,0
110,Heloptile,1d,GA,9,7,,7,5,,2,0,,0,0,,2,0
111,Heliolisk,1d,GA,7,5,,8,6,,2,0,,0,0,,3,1
112,Pincurchin,2d,GA,2,0,,7,5,,4,2,,0,0,,0,0
113,Clefairy,1d,GA,7,5,,3,1,,5,3,,0,0,,0,0
114,Clefable,2d,GA,1,0,,1,0,,1,0,,0,0,,0,0
115,Abra,1d,GA,3,1,,2,1,,1,0,,0,0,,0,0
116,Kadabra,2d,GA,1,0,,2,1,,1,0,,0,0,,0,0
117,Alakazam,3d,GA,0,0,,0,0,,0,0,,0,0,,0,0
118,Slowpoke,1d,GA,7,5,,8,6,,7,5,,0,0,,2,0
119,Slowbro,2d,GA,6,4,,6,4,,5,3,,0,0,,0,0
120,Gastly,1d,GA,4,2,,1,0,,1,0,,0,0,,0,0
121,Haunter,2d,GA,3,1,,2,1,,0,0,,0,0,,0,0
122,Gengar,3d,GA,2,0,,1,0,,1,0,,0,0,,0,0
123,Gengar Ex,4d,GA,0,0,,2,1,,0,0,,0,0,,0,0
124,Drowzee,1d,GA,4,2,,6,4,,3,1,,0,0,,0,0
125,Hypno,3d,GA,4,2,,1,0,,1,0,,0,0,,0,0
126,Mr. Mime ,2d,GA,3,1,,4,1,,1,0,,0,0,,0,0
127,Jynx,1d,GA,4,2,,0,0,,3,1,,0,0,,0,0
128,Mewtwo,3d,GA,0,0,,1,0,,1,0,,0,0,,0,0
129,Mewtwo Ex,4d,GA,1,0,,0,,,0,0,,0,0,,0,0
130,Ralts,1d,GA,2,0,,2,1,,0,0,,0,0,,1,0
131,Kirlia,2d,GA,3,1,,5,3,,1,0,,0,0,,0,0
132,Gardevoir,3d,GA,2,0,,1,0,,1,0,,0,0,,0,0
133,Woobat,1d,GA,7,5,,9,7,,7,5,,0,0,,1,0
134,Swoobat,1d,GA,7,5,,4,2,,9,7,,0,0,,1,0
135,Golett,1d,GA,5,3,,6,4,,9,7,,0,0,,2,0
136,Golurk,2d,GA,5,3,,2,1,,2,0,,0,0,,0,0
137,Sandshrew,1d,GA,5,3,,7,5,,7,5,,0,0,,4,2
138,Sandslash,2d,GA,7,5,,5,3,,11,9,,0,0,,0,0
139,Diglett,1d,GA,3,1,,3,1,,2,0,,0,0,,1,0
140,Dugtrio,2d,GA,6,4,,3,1,,2,0,,0,0,,0,0
